"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $321.93/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0xbc2c8578d0e9c1ebc6fd79f46f1cf49714db829710d39ce0489f650d9dce0067","3909635","1498075382","6/21/2017 8:03:02 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0xd73dfd80885d16bb5e66b6e2f67a9a0bae5b1bc7","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0x518fceb97c821bdde43f366153919b4a7c5733dc26b92dddd9f5a6d5e93fbbb8","3909635","1498075382","6/21/2017 8:03:02 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x0acdd5818c8099d4bbad1770ced3a643028f91a2","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0xc830327aa178a29659ee82ddb715417c9911b59fcb545ac989eb9310b4a0371d","3909635","1498075382","6/21/2017 8:03:02 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x3a343fbbe86dc1b4d1c5904f211e94829a35ec5e","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0x2f2541e6b75b22a9b90e0539a8a1768ff0ee45039a7364dfb956dc42c8b24360","3909634","1498075361","6/21/2017 8:02:41 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x46df4197bde75dc3bceec0b45269edd82402024f","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0x176917db7e4cd2df17a659ab4266e398aaf7fcdaacc578458c3069a8fc68bb1c","3909632","1498075287","6/21/2017 8:01:27 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0xc5da9b66b7555744daf12f79c044cfe73c0ae07d","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0x8f5de642c55e5ed78bbb51079ce18e45383ed68367c6e399d3a22358c404a1f8","3909629","1498075273","6/21/2017 8:01:13 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x8925eb5aab20a3a30904db58b56047c882ca1323","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0xf7889f94f65b2a3114a1890966c8c4c6a94fce5f0c64fd35bdbc8611458a8f8b","3909627","1498075235","6/21/2017 8:00:35 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x625a8933eaf970b41594a271665aae3ae18ab794","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0xff8be383201d342297189d901a6cadc7359929dcf3384a787c33704ee5ba659d","3909615","1498075029","6/21/2017 7:57:09 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0x422ece65f362d57480903136f3e25750a4e716b6","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0xadb8a0e0db99fd07f541f4561ec490dae9db0ba710fafea4e89a92842968fee8","3909615","1498075029","6/21/2017 7:57:09 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0xed1fe59dd44e3ac31bbf6da109ce49900d8e4964","","0","501","161286.93","0.00105","0.3380265","325.30","",""
"0x2023c4f698f57a0f9b08e04b9fd1c439d45337fc306254a1e113e38a8fc69e9d","3909614","1498075016","6/21/2017 7:56:56 PM","0xf04e43fb841ca0bb6ee0dea50c9f66896642b5c2","0xfc8dcb40fa133cf60d6c58b74608851f326dcd45","","0","501","161286.93","0.00105","0.3380265","325.30","",""
